CustomerID,Name,Region,JoinDate,LoyaltyPoints_Num,PreferredContactMethod_Cat
1000,Robert Gomez,West,2/25/2024,25,Phone
1001,John Silva,East,12/1/2020,125,Phone
1002,Mark Marshall,Central,8/8/2020,225,Phone
1003,David Brennan,North,5/21/2020,0,Phone
1004,Kerry Collins,North,9/12/2023,825,None
1005,Jessica Mora,South,8/5/2021,25,Email
1006,Hannah Ray,West,7/3/2021,550,None
1007,David Kim,West,5/20/2020,500,None
1008,William Ramirez,EAST,9/15/2023,175,Text
1009,Zachary Bell Jr.,East,4/20/2023,175,None
1010,Mike Davis,East,3/23/2022,625,Email
1011,Amanda Myers,West,9/5/2021,375,Phone
1012,Tara Miller,North,8/10/2020,200,Phone
1013,Alyssa Morgan,North,7/22/2022,0,Email
1014,Cindy Woods,East,4/2/2024,975,Phone
1015,Jennifer Rodgers,North,2/12/2023,650,Email
1016,Andrea Roberts,EAST,5/16/2021,150,Text
1017,Brittney Burnett,North,7/3/2020,425,Text
1018,Edwin Garrison,south-west,8/31/2020,950,Text
1019,Michelle Torres,Central,11/18/2020,275,Phone
1020,Michelle Brewer,East,7/14/2021,650,Text
1021,Aaron Burnett,South,2/13/2024,825,Text
1022,Austin Gutierrez,EAST,11/25/2021,700,Phone
1023,Dustin Medina,east,6/14/2021,875,Phone
1024,Andres Avila,Central,9/19/2022,400,Email
1025,Garrett Lewis,South,8/4/2023,700,Text
1026,Gary Walls,North,10/5/2023,775,Text
1027,Anthony Schroeder,east,10/4/2020,325,Email
1028,Haley Wagner,West,11/3/2023,750,Email
1029,Gina Powers,West,10/26/2022,600,Text
1030,Alice Robinson,EAST,8/6/2021,825,Phone
1031,Jessica Frazier,West,10/20/2021,800,Phone
1032,Terri Long,east,10/23/2022,425,None
1033,Paul Perkins,east,3/16/2022,625,Email
1034,Heather Smith,Central,9/16/2022,25,Phone
1035,Lorraine Rodriguez,East,9/26/2022,125,Email
1036,Robert Bishop,south-west,9/14/2020,950,Text
1037,Lisa Sanders,West,6/3/2020,700,Email
